aluno_id,ano_letivo,turma,disciplina,fase,nota_exame_norm_0_20,nota_p1,nota_p2,nota_p3,cif
851,2018/2019,18/19 - 12º ANO A1,MAT.A,CE1,15.0,11,10,10,11
851,2018/2019,18/19 - 12º ANO A1,PORT.,CE1,13.2,14,12,12,12
852,2017/2018,17/18 - 11º ANO A2,BIO.GEO.,CE1,14.9,15,15,16,16
852,2017/2018,17/18 - 11º ANO A2,BIO.GEO.,CE2,18.0,15,15,16,16
852,2017/2018,17/18 - 11º ANO A2,FÍS.QUÍM.A,CE1,17.5,15,16,17,17
852,2017/2018,17/18 - 11º ANO A2,FÍS.QUÍM.A,CE2,19.1,15,16,17,17
852,2018/2019,18/19 - 12º ANO A2,MAT.A,CE1,19.9,19,18,19,17
852,2018/2019,18/19 - 12º ANO A2,PORT.,CE1,15.6,17,17,16,16
853,2017/2018,17/18 - 11º ANO C,FILO.,CE1,15.6,17,16,17,18
853,2017/2018,17/18 - 11º ANO C,FILO.,CE2,14.8,17,16,17,18
853,2017/2018,17/18 - 11º ANO C,MACS,CE1,18.6,17,17,17,18
853,2018/2019,18/19 - 12º ANO C,HIST.A,CE1,15.8,15,17,18,16
853,2018/2019,18/19 - 12º ANO C,PORT.,CE1,17.7,17,18,18,18
857,2017/2018,17/18 - 11º ANO B,ECON.A,CE1,18.6,17,18,18,18
857,2017/2018,17/18 - 11º ANO B,FILO.,CE1,18.6,17,17,18,18
857,2018/2019,18/19 - 12º ANO B,MAT.A,CE1,13.5,13,15,15,16
857,2018/2019,18/19 - 12º ANO B,PORT.,CE1,14.6,14,16,17,17
859,2017/2018,17/18 - 11º ANO A2,BIO.GEO.,CE1,11.6,13,13,13,14
859,2017/2018,17/18 - 11º ANO A2,BIO.GEO.,CE2,11.6,13,13,13,14
859,2017/2018,17/18 - 11º ANO A2,FÍS.QUÍM.A,CE1,15.1,11,13,12,13
859,2018/2019,18/19 - 12º ANO A2,MAT.A,CE1,10.1,11,9,9,10
859,2018/2019,18/19 - 12º ANO A2,PORT.,CE1,14.0,13,13,13,14
859,2018/2019,18/19 - 12º ANO A2,PORT.,CE2,12.4,13,13,13,14
860,2017/2018,17/18 - 11º ANO A3,FÍS.QUÍM.A,CE1,17.1,16,16,17,15
